Region,Lat,Long
JARDIM DA PENHA,-20.283371,-40.294036
MATA DA PRAIA,-20.276215,-40.290514
PONTAL DE CAMBURI,-20.288505,-40.299206
REPÚBLICA,-20.269422,-40.294190
GOIABEIRAS,-20.272375,-40.305365
ANDORINHAS,-20.287609,-40.305761
CONQUISTA,-20.277822,-40.323504
NOVA PALESTINA,-20.273260,-40.327014
DA PENHA,-20.298254,-40.310846
TABUAZEIRO,-20.294947,-40.323195
BENTO FERREIRA,-20.315022,-40.308530
SÃO PEDRO,-20.281734,-40.336549
SANTA MARTHA,-20.287980,-40.309311
SÃO CRISTÓVÃO,-20.292294,-40.314974
MARUÍPE,-20.296333,-40.319959
GRANDE VITÓRIA,-20.290048,-40.343692
SÃO BENEDITO,-20.302184,-40.306558
ILHA DAS CAIEIRAS,-20.277653,-40.335767
SANTO ANDRÉ,-20.278888,-40.332609
SOLON BORGES,-20.261300,-40.295464
BONFIM,-20.299788,-40.313576
JARDIM CAMBURI,-20.258096,-40.267411
MARIA ORTIZ,-20.259165,-40.297441
JABOUR,-20.258117,-40.292473
ANTÔNIO HONÓRIO,-20.263338,-40.297782
RESISTÊNCIA,-20.273945,-40.317560
ILHA DE SANTA MARIA,-20.315288,-40.318333
JUCUTUQUARA,-20.309583,-40.319980
MONTE BELO,-20.314578,-40.313229
MÁRIO CYPRESTE,-20.319744,-40.355525
SANTO ANTÔNIO,-20.309442,-40.353709
BELA VISTA,-20.304139,-40.347479
PRAIA DO SUÁ,-20.312896,-40.297590
SANTA HELENA,-20.309675,-40.294997
ITARARÉ,-20.296166,-40.306984
INHANGUETÁ,-20.298582,-40.346748
UNIVERSITÁRIO,-20.294483,-40.341126
SÃO JOSÉ,-20.282859,-40.330656
REDENÇÃO,-20.278581,-40.328622
SANTA CLARA,-20.318662,-40.345242
CENTRO,-20.319857,-40.336612
PARQUE MOSCOSO,-20.319819,-40.341996
DO MOSCOSO,-20.314882,-40.343335
SANTOS DUMONT,-20.302450,-40.316146
CARATOÍRA,-20.315477,-40.353025
ARIOVALDO FAVALESSA,-20.314673,-40.356391
ILHA DO FRADE,-20.302519,-40.282253
GURIGICA,-20.306043,-40.305869
JOANA D´ARC,-20.285243,-40.315899
CONSOLAÇÃO,-20.307458,-40.312462
PRAIA DO CANTO,-20.297432,-40.292747
BOA VISTA,-20.271818,-40.299515
MORADA DE CAMBURI,-20.271402,-40.296705
SANTA LUÍZA,-20.291698,-40.302640
SANTA LÚCIA,-20.302958,-40.299988
BARRO VERMELHO,-20.295332,-40.298874
ESTRELINHA,-20.294244,-40.346032
FORTE SÃO JOÃO,-20.318821,-40.325127
FONTE GRANDE,-20.313252,-40.336967
ENSEADA DO SUÁ,-20.315562,-40.291994
SANTOS REIS,-20.283205,-40.334178
PIEDADE,-20.314818,-40.340499
JESUS DE NAZARETH,-20.318042,-40.303033
SANTA TEREZA,-20.310553,-40.349563
CRUZAMENTO,-20.310256,-40.322451
ILHA DO PRÍNCIPE,-20.321362,-40.350867
ROMÃO,-20.313064,-40.324429
COMDUSA,-20.286279,-40.334483
SANTA CECÍLIA,-20.302843,-40.320126
VILA RUBIM,-20.319817,-40.346954
DE LOURDES,-20.306537,-40.316313
DO QUADRO,-20.317241,-40.349772
DO CABRAL,-20.316512,-40.347729
HORTO,-20.309281,-40.311103
SEGURANÇA DO LAR,-20.262865,-40.296549
ILHA DO BOI,-20.309797,-40.279513
FRADINHOS,-20.307334,-40.327839
NAZARETH,-20.310062,-40.315854
AEROPORTO,-20.262797,-40.289703
ILHAS OCEÂNICAS DE TRINDADE,-20.509842,-29.324645
PARQUE INDUSTRIAL,-20.249475,-40.233396
